Date,PX_LOW,PX_HIGH,PX_VOLUME,PX_OPEN,PX_CLOSE_1D,BEST_PE_RATIO,CUR_MKT_CAP,BETA_ADJ_OVERRIDABLE,BEST_DIV_YLD
12/12/11,1227.25,1255.05,619167936,1255.05,1255.19,12.3817,11450771,1.06,2.17
12/13/11,1219.43,1249.86,735700608,1236.83,1236.47,12.279,11352736,1.06,2.19
12/14/11,1209.47,1225.73,698691520,1225.73,1225.73,12.1827,11224257,1.06,2.21
12/15/11,1212.12,1225.6,651875264,1212.12,1211.82,12.228,11260204,1.06,2.2
12/16/11,1215.2,1231.04,1403694336,1216.09,1215.75,12.2813,11300612,1.06,2.19
12/19/11,1202.37,1224.57,571465536,1219.74,1219.66,12.1487,11189229,1.06,2.21
12/20/11,1205.72,1242.82,742044672,1205.72,1205.35,12.5124,11519299,1.06,2.15
12/21/11,1229.51,1245.09,716011712,1241.25,1241.3,12.5379,11536314,1.06,2.14
12/22/11,1243.72,1255.22,615205248,1243.72,1243.72,12.6382,11633161,1.06,2.13
12/23/11,1254,1265.42,352978240,1254,1254,12.751,11737652,1.06,2.11
12/26/11,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.751,11737652,#N/A N/A,#N/A N/A
12/27/11,1262.3,1269.37,347169408,1265.02,1265.33,12.7531,11736772,1.06,2.11
12/28/11,1248.64,1265.85,388452384,1265.38,1265.43,12.5943,11587563,1.06,2.13
12/29/11,1249.75,1263.54,375277760,1249.75,1249.64,12.7449,11711167,1.06,2.11
12/30/11,1257.46,1264.12,423308640,1262.82,1263.02,12.6901,11661025,1.06,2.12
1/2/12,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.9302,11661025,#N/A N/A,#N/A N/A
1/3/12,1258.86,1284.62,662833984,1258.86,1257.6,12.1259,11839623,1.06,2.26
1/4/12,1268.1,1278.73,613439040,1277.03,1277.06,12.1282,11839799,1.06,2.26
1/5/12,1265.26,1283.05,661155456,1277.3,1277.3,12.176,11873474,1.06,2.25
1/6/12,1273.34,1281.84,586088448,1280.93,1281.06,12.1592,11843552,1.06,2.26
1/9/12,1274.55,1281.99,582503808,1277.83,1277.81,12.1974,11871685,1.06,2.26
1/10/12,1280.77,1296.46,654449152,1280.77,1280.7,12.3123,11977358,1.06,2.24
1/11/12,1285.41,1293.8,568889728,1292.02,1292.08,12.3192,11981340,1.06,2.24
1/12/12,1285.77,1296.82,580387520,1292.48,1292.48,12.3531,12010831,1.06,2.23
1/13/12,1277.58,1294.82,656830080,1294.82,1295.5,12.297,11952444,1.06,2.24
1/16/12,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12.3054,11952444,#N/A N/A,#N/A N/A
1/17/12,1290.22,1303,643679808,1290.22,1289.09,12.3629,11994300,1.06,2.23
1/18/12,1290.99,1308.11,677178304,1293.65,1293.67,12.5137,12127818,1.06,2.21
1/19/12,1308.07,1315.49,665298880,1308.07,1308.04,12.5862,12189885,1.06,2.2
1/20/12,1309.17,1315.38,878502592,1314.49,1314.5,12.6118,12199329,1.06,2.2
1/23/12,1309.89,1322.28,584278848,1315.29,1315.38,12.5823,12204362,1.06,2.21
1/24/12,1306.06,1315.96,589617216,1315.96,1316,12.5583,12192176,1.06,2.21
1/25/12,1307.65,1328.3,698307456,1314.4,1314.65,12.6174,12295493,1.06,2.19
1/26/12,1313.6,1333.47,702103424,1326.28,1326.05,12.554,12225135,1.06,2.2
1/27/12,1311.72,1320.06,676743296,1318.25,1318.43,12.5436,12206498,1.06,2.21
1/30/12,1300.49,1316.16,577527488,1316.16,1316.33,12.5286,12166855,1.06,2.22
1/31/12,1306.69,1321.41,797852928,1313.53,1313.01,12.5326,12161494,1.06,2.22
2/1/12,1312.45,1330.52,673966528,1312.45,1312.41,12.6163,12272395,1.06,2.2
